2022-03-11 16:19:42,944 [Worker-6: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is not available. Remote download required.
2022-03-14 14:57:25,845 [Worker-8: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2022-03-14 14:59:01,297 [Worker-4: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-03-14 14:59:11,317 [main] INFO  org.mortbay.log - Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
2022-03-14 14:59:11,324 [main] INFO  org.mortbay.log - jetty-6.1.x
2022-03-14 14:59:11,364 [main] INFO  org.mortbay.log - Started SocketConnector@localhost:54475
2022-03-14 14:59:52,648 [main] INFO  org.mortbay.log - Stopped SocketConnector@localhost:54475
2022-03-14 15:00:06,617 [main] INFO  org.mortbay.log - jetty-6.1.x
2022-03-14 15:00:07,473 [main] INFO  org.mortbay.log - Started SocketConnector@localhost:54556
2022-03-14 15:00:17,484 [main] INFO  org.mortbay.log - Stopped SocketConnector@localhost:54556
2022-03-14 15:19:27,485 [Worker-24: Updating Maven Dependencies] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/cloud/libraries-bom/25.0.0/libraries-bom-25.0.0.pom
2022-03-14 15:19:27,485 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/cloud/libraries-bom/25.0.0/libraries-bom-25.0.0.pom
2022-03-14 15:19:27,520 [Worker-24: Updating Maven Dependencies] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/cloud/libraries-bom/25.0.0/libraries-bom-25.0.0.pom
2022-03-14 15:19:27,527 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/cloud/libraries-bom/25.0.0/libraries-bom-25.0.0.pom
2022-03-14 15:19:27,554 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.19.4/protobuf-bom-3.19.4.pom
2022-03-14 15:19:27,554 [Worker-24: Updating Maven Dependencies] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.19.4/protobuf-bom-3.19.4.pom
2022-03-14 15:19:27,577 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.19.4/protobuf-bom-3.19.4.pom
2022-03-14 15:19:27,584 [Worker-24: Updating Maven Dependencies] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/3.19.4/protobuf-bom-3.19.4.pom
